"","Dates","KOR","AUS","ISL","GBR","DNK","ESP","JPN","NOR","CAN","FIN","NLD","USA","MEX","BEL","DEU","LUX","PRT","ITA","AUT","IRL","CHE","SWE","FRA","GRC"
"1","1947-Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.266691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1947-Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.206496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1947-Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.564208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1948-Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.504256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1948-Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.650658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1948-Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1948-Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1949-Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.377951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1949-Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.341097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1949-Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.032415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1949-Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.839275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1950-Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.930121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1950-Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.049835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1950-Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.864389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1950-Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.914763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1951-Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.358164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1951-Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.732736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1951-Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.060983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1951-Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1952-Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.068549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1952-Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1952-Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.721871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1952-Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.284198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1953-Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.858854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1953-Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1953-Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.562694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1953-Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.513976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
